platform,leg,config,threads,node,bw_gbps,latency_ns,implied_mlp
intel_emr,thread_sweep,wb_cxl,8,2,24.262,164.62648503299576,62.40887156047724
intel_emr,thread_sweep,wb_local,1,0,14.226,84.54594335225794,18.792977970769087
intel_emr,thread_sweep,wb_local,2,0,28.787,84.54594335225794,38.02850111377265
intel_emr,thread_sweep,wb_local,4,0,56.623000000000005,84.54594335225794,74.80070235054534
intel_emr,thread_sweep,wb_local,8,0,107.386,84.54594335225794,141.86016676289955
intel_emr,thread_sweep,wc_cxl,1,2,6.375,164.62648503299576,16.398341282583562
intel_emr,thread_sweep,wc_cxl,2,2,12.925,164.62648503299576,33.246833110179224
intel_emr,thread_sweep,wc_cxl,4,2,23.29,164.62648503299576,59.90860681903862
intel_emr,thread_sweep,wc_cxl,8,2,24.249,164.62648503299576,62.37543180570491
intel_emr,thread_sweep,wc_local,1,0,10.922,84.54594335225794,14.42829364520877
intel_emr,thread_sweep,wc_local,2,0,22.305,84.54594335225794,29.465582288626774
intel_emr,thread_sweep,wc_local,4,0,43.952000000000005,84.54594335225794,58.06192659716315
intel_emr,thread_sweep,wc_local,8,0,84.507,84.54594335225794,111.63631304483222
intel_emr,thread_sweep,wb_cxl,1,2,8.909,164.62648503299576,22.91652117435874
intel_emr,thread_sweep,wb_cxl,2,2,17.5,164.62648503299576,45.01505450120978
intel_emr,thread_sweep,wb_cxl,4,2,24.123,164.62648503299576,62.0513234132962
intel_emr,thread_sweep,wb_cxl,8,2,24.247999999999998,164.62648503299576,62.37285951687626
intel_emr,thread_sweep,wb_local,1,0,14.221,84.54594335225794,18.78637281894469
intel_emr,thread_sweep,wb_local,2,0,28.818,84.54594335225794,38.0694530550839
intel_emr,thread_sweep,wb_local,4,0,56.62,84.54594335225794,74.7967392594507
intel_emr,thread_sweep,wb_local,8,0,107.426,84.54594335225794,141.9130079774947
intel_emr,thread_sweep,wc_cxl,1,2,6.377,164.62648503299576,16.403485860240846
intel_emr,thread_sweep,wc_cxl,2,2,12.843,164.62648503299576,33.0359054262307
intel_emr,thread_sweep,wc_cxl,4,2,23.177999999999997,164.62648503299576,59.62051047023086
intel_emr,thread_sweep,wc_cxl,8,2,24.229999999999997,164.62648503299576,62.32655831796073
intel_emr,thread_sweep,wc_local,1,0,10.93,84.54594335225794,14.438861888127802
intel_emr,thread_sweep,wc_local,2,0,22.049999999999997,84.54594335225794,29.128719545582612
intel_emr,thread_sweep,wc_local,4,0,43.961,84.54594335225794,58.073815870447056
intel_emr,thread_sweep,wc_local,8,0,84.584,84.54594335225794,111.73803238292791
